id,roman_catholic_2011,greek_catholic_2011,calvinist_2011,lutheran_2011,orthodox_christian_2011,other_christian_2011,jewish_2011,atheist_2011,other_2011,percentage_of_religious_population_2011,roman_catholic_2022,greek_catholic_2022,calvinist_2022,lutheran_2022,orthodox_christian_2022,other_christian_2022,jewish_2022,atheist_2022,other_2022,percentage_of_religious_population_2022,change_in_the_number_of_religious_population,educational_attainment_level_2011,educational_attainment_level_2022,bellow_eight_grade_2011,primary_school_2011,secondary_school_2011,high_school_2011,higher_education_2011,bellow_eight_grade_2022,primary_school_2022,secondary_school_2022,high_school_2022,higher_education_2022,change_in_educational_attainment_level
126,22868.0,701.0,7806.0,1787.0,82.0,1278.0,104.0,17759.0,403.0,0.6636,20808.0,1021.0,7973.0,1714.0,106.0,1332.0,77.0,16441.0,267.0,0.6695,-0.0494,0.5952,0.6379,7705,13257,11236,23836,24243,9136,11635,10367,26711,24243,0.04270000000000007
127,35197.0,1026.0,10218.0,1375.0,239.0,2174.0,108.0,27215.0,608.0,0.6518,30755.0,1326.0,10352.0,1534.0,253.0,2356.0,95.0,24334.0,430.0,0.6594,-0.0755,0.5645,0.6262,12249,21825,19097,34092,31797,12069,18519,17982,39688,31797,0.06169999999999998
128,49899.0,1128.0,14691.0,3871.0,133.0,3348.0,110.0,25364.0,653.0,0.7443,43022.0,1624.0,14856.0,3799.0,198.0,4211.0,110.0,25109.0,647.0,0.7317,-0.0727,0.555,0.6119,16126,26777,21910,39328,37366,16349,23841,21995,47691,37366,0.05689999999999995
129,11425.0,442.0,6383.0,291.0,31.0,1040.0,19.0,8199.0,161.0,0.7071,9042.0,450.0,5360.0,295.0,59.0,1052.0,15.0,7791.0,111.0,0.6777,-0.1722,0.4845,0.5491,4911,10178,8486,10539,5642,4211,8339,8258,13274,5642,0.06460000000000005
130,15387.0,440.0,11196.0,5552.0,56.0,1560.0,26.0,11696.0,208.0,0.7464,12880.0,612.0,10406.0,4332.0,60.0,1673.0,25.0,13132.0,209.0,0.6969,-0.1228,0.4756,0.5463,8365,16834,14029,15864,10308,7398,14319,14003,20892,10308,0.07069999999999999
131,37333.0,275.0,4919.0,1511.0,45.0,998.0,16.0,8515.0,171.0,0.8417,25586.0,354.0,4286.0,1056.0,44.0,1130.0,16.0,9004.0,141.0,0.7836,-0.2796,0.4376,0.5031,10404,20553,16242,15150,6894,7197,17829,16599,19283,6894,0.0655
132,7368.0,37.0,6388.0,93.0,16.0,377.0,18.0,5629.0,48.0,0.7182,5166.0,69.0,4775.0,74.0,9.0,306.0,10.0,4808.0,30.0,0.6847,-0.2723,0.4557,0.5195,3917,7713,6004,5967,3068,2655,5934,6084,7041,3068,0.06379999999999997
133,23458.0,384.0,4318.0,652.0,78.0,852.0,76.0,8556.0,301.0,0.7788,19466.0,544.0,4134.0,719.0,66.0,993.0,59.0,8169.0,222.0,0.7623,-0.13,0.575,0.6308,5999,9609,7744,14378,16237,6081,8157,7443,16121,16237,0.05580000000000007
134,12868.0,195.0,8123.0,150.0,254.0,380.0,14.0,4517.0,79.0,0.8301,9419.0,252.0,6361.0,129.0,185.0,436.0,14.0,5275.0,66.0,0.7617,-0.2357,0.4815,0.5444,4594,9016,7286,8984,4818,3436,7984,8028,11584,4818,0.06290000000000001
135,28351.0,665.0,9305.0,959.0,354.0,1227.0,128.0,14418.0,517.0,0.7422,25910.0,891.0,9350.0,1234.0,375.0,1347.0,87.0,13790.0,439.0,0.7419,-0.0451,0.597,0.6441,7897,13544,10728,21504,25902,8745,11939,10825,25299,25902,0.04710000000000003
136,30519.0,1665.0,12343.0,995.0,188.0,2089.0,56.0,26480.0,577.0,0.6465,26744.0,1962.0,12704.0,1044.0,242.0,2196.0,66.0,25707.0,451.0,0.6385,-0.0624,0.5376,0.5897,11905,21922,19976,32320,23633,12827,20481,20385,41498,23633,0.052100000000000035
137,13316.0,118.0,2078.0,405.0,10.0,319.0,11.0,2714.0,73.0,0.8575,10560.0,155.0,1844.0,348.0,18.0,408.0,16.0,2902.0,130.0,0.8228,-0.1746,0.5214,0.5862,2828,5753,4440,6779,5016,2534,4334,4259,7529,5016,0.06480000000000008
138,28200.0,267.0,5216.0,3411.0,35.0,1510.0,26.0,9240.0,222.0,0.808,23059.0,470.0,5154.0,2907.0,61.0,1586.0,40.0,9178.0,214.0,0.7849,-0.1388,0.5358,0.5943,7290,14679,11731,19129,14040,6726,11773,11085,21857,14040,0.058499999999999996
139,15037.0,395.0,5349.0,1397.0,45.0,703.0,12.0,8865.0,185.0,0.7229,12110.0,508.0,5110.0,1314.0,68.0,814.0,16.0,8611.0,140.0,0.6999,-0.1316,0.5242,0.5825,4856,10204,9260,13598,8543,4713,8428,8752,16136,8543,0.05830000000000002
103,4218.0,28.0,1274.0,20.0,0.0,85.0,0.0,1146.0,9.0,0.831,2970.0,54.0,890.0,18.0,3.0,84.0,0.0,952.0,11.0,0.8089,-0.2847,0.4316,0.5022,1389,2683,1964,1836,787,823,1884,1809,2021,787,0.0706
104,39948.0,441.0,5241.0,281.0,34.0,1105.0,24.0,15362.0,338.0,0.7553,29336.0,525.0,4775.0,242.0,125.0,1463.0,17.0,11299.0,248.0,0.7648,-0.2253,0.5584,0.619,9546,18035,13818,25576,18492,6898,12184,13005,24947,18492,0.06059999999999999
105,15694.0,113.0,1539.0,45.0,20.0,563.0,4.0,3896.0,24.0,0.8221,10515.0,108.0,1278.0,39.0,14.0,610.0,4.0,4169.0,37.0,0.7515,-0.2998,0.4244,0.4836,4947,8711,6465,6219,2387,3212,7071,6409,7010,2387,0.059199999999999975
